,brand_name,brand_detail,brand_price,brand_discount
381,BERSACHE,Bersache Sports Walking Gym sneakers Trekking Hiking Sh...,₹499,87% off
382,AJANTA,Casual Loafers For Men,₹294,57% off
383,Nobelite,Casuals For Men,₹279,79% off
384,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹399,80% off
385,asian,"Thunder-01 White Color Change Sneakers,Casuals,Loafer S...",₹724,57% off
386,Paragon,K1201G Cricket Gym Sports Comfortable Daily Outdoor Wal...,₹659,45% off
387,aadi,Synthetic Leather |Lightweight|Comfort|Summer|Trendy|Wa...,₹429,57% off
388,asian,"Nexon-13 White Sports,Walking,Training,Gym,Stylish, Run...",₹609,49% off
389,SFR,High Tops For Men,₹299,70% off
390,ATOM,Sneakers For Men,"₹1,285",61% off
391,RED TAPE,"Walking Sports Shoes for Men | Soft Cushioned Insole, S...","₹1,631",76% off
392,aadi,Mesh| Lightweight| Premiun| Comfort| Summer Tendy| Outd...,₹299,70% off
393,aadi,"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Styli...",₹299,85% off
394,KANEGGYE,Casuals For Men,₹499,50% off
395,aadi,Synthetic Leather| Ultralightweight | Comfortable | Bre...,₹279,86% off
396,M7 By Metronaut,M7-22509-Zebra L.Grey Orange Running Shoes For Men,₹594,70% off
397,RapidBox,Sneakers For Men,₹699,30% off
398,AJANTA,Casual Loafers For Men,₹294,57% off
399,Bata,Slip On For Men,₹659,40% off
